"State","Year","Deaths","Crude_Rate","PCT_of_Total_Deaths","Multiple_Cause_of_death"
"Wyoming",2000,NA,NA,NA,"Heroin"
"Wyoming",2000,NA,NA,NA,"Other opioids"
"Wyoming",2000,NA,NA,NA,"Methadone"
"Wyoming",2000,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2000,0,0,0,"All Opioids"
"Wyoming",2001,NA,NA,NA,"Heroin"
"Wyoming",2001,NA,NA,NA,"Other opioids"
"Wyoming",2001,NA,NA,NA,"Methadone"
"Wyoming",2001,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2001,0,0,0,"All Opioids"
"Wyoming",2002,NA,NA,NA,"Heroin"
"Wyoming",2002,10,NA,0,"Other opioids"
"Wyoming",2002,NA,NA,NA,"Methadone"
"Wyoming",2002,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2002,10,0,0,"All Opioids"
"Wyoming",2003,NA,NA,NA,"Heroin"
"Wyoming",2003,NA,NA,NA,"Other opioids"
"Wyoming",2003,NA,NA,NA,"Methadone"
"Wyoming",2003,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2003,0,0,0,"All Opioids"
"Wyoming",2004,NA,NA,NA,"Heroin"
"Wyoming",2004,NA,NA,NA,"Other opioids"
"Wyoming",2004,NA,NA,NA,"Methadone"
"Wyoming",2004,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2004,0,0,0,"All Opioids"
"Wyoming",2005,NA,NA,NA,"Heroin"
"Wyoming",2005,NA,NA,NA,"Other opioids"
"Wyoming",2005,NA,NA,NA,"Methadone"
"Wyoming",2005,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2005,0,0,0,"All Opioids"
"Wyoming",2006,NA,NA,NA,"Heroin"
"Wyoming",2006,NA,NA,NA,"Other opioids"
"Wyoming",2006,NA,NA,NA,"Methadone"
"Wyoming",2006,NA,NA,NA,"Other synthetic narcotics"
"Wyoming",2006,0,0,0,"All Opioids"
"Wyoming",2007,NA,NA,NA,"Heroin"
"Wyoming",2007,NA,NA,NA,"Other opioids"
"Wyoming",2007,NA,NA,NA,"Methadone"
